experiment,episodes,learning_rate,gamma,epsilon_decay,epsilon_min,frame_skip,use_grayscale,use_enemy_color_detection,policy,avg_reward,max_reward,min_reward,last_100_avg
softmax_grayTrue_enemyTrue_skip4_1000eps,1000,0.004,0.96,0.96,0.65,4,True,True,softmax,-34.944,95.0,-390.0,-38.79
softmax_grayTrue_enemyTrue_skip4_1000eps,1000,0.004,0.96,0.96,0.65,4,True,True,softmax,-37.97,95.0,-395.0,-49.94
greedy_grayTrue_enemyTrue_skip4_1000eps,1000,0.004,0.96,0.96,0.65,4,True,True,greedy,-51.054,95.0,-390.0,-49.08
greedy_grayTrue_enemyTrue_skip4_1000eps,1000,0.004,0.96,0.96,0.65,4,True,True,greedy,-48.616,95.0,-390.0,-46.28
greedy_grayTrue_enemyTrue_skip4_1000eps,1000,0.001,0.99,0.99,0.05,4,True,True,greedy,-32.382,95.0,-390.0,-18.37
greedy_grayTrue_enemyTrue_skip4_1000eps,1000,0.001,0.99,0.99,0.05,4,True,True,greedy,-36.991,95.0,-395.0,-57.13
softmax_grayTrue_enemyTrue_skip4_1000eps,1000,0.001,0.99,0.99,0.05,4,True,True,softmax,-44.612,95.0,-400.0,-40.25
softmax_grayTrue_enemyTrue_skip4_1000eps,1000,0.001,0.99,0.99,0.05,4,True,True,softmax,-36.067,95.0,-395.0,-20.81
softmax_grayFalse_enemyTrue_skip4_1000eps,1000,0.001,0.99,0.99,0.05,4,False,True,softmax,-35.122,95.0,-390.0,7.72
softmax_grayFalse_enemyTrue_skip4_1000eps,1000,0.001,0.99,0.99,0.05,4,False,True,softmax,-39.773,95.0,-390.0,-57.62
softmax_grayFalse_enemyTrue_skip4_1000eps,1000,0.001,0.99,0.99,0.05,4,False,True,softmax,-38.132,95.0,-390.0,-46.88
random_baseline_1000eps,1000,,,,,,,,random,-64.127,95.0,-395.0,-48.4
random_baseline_1000eps,1000,,,,,,,,random,-65.891,95.0,-395.0,-69.88
random_baseline_1000eps,1000,,,,,,,,random,-74.826,95.0,-400.0,-101.78
